Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,University of Toronto,15,12.9,CND,the,UT,2.0336983335021106,3.1758998331798174,-1.1422014996777068
2,University of Waterloo,22,10.8,CND,the,UW-2,3.3397431348337414,2.5252276722356597,0.8145154625980817
3,McGill University,6,3.3,CND,the,MU,0.354497874647157,0.20139852600652483,0.15309934864063215
4,Simon Fraser University,4,2.6,CND,the,SFU,-0.01865778287616609,-0.015492194308194313,-0.003165588567971776
4,Université de Sherbrooke,3,2.6,CND,the,US,-0.20523561163782764,-0.015492194308194313,-0.18974341732963332
6,University of Victoria,4,2.3,CND,the,UV,-0.01865778287616609,-0.10844536015735978,0.08978757728119369
7,University of British Columbia,7,2.2,CND,the,UBC,0.5410757034088185,-0.13942974877374814,0.6805054521825666
8,University of Alberta,3,1.6,CND,the,UA,-0.20523561163782764,-0.3253360804720789,0.12010046883425127
9,Carleton University,3,1.4,CND,the,CU-2,-0.20523561163782764,-0.3873048577048559,0.18206924606702826
9,University of Calgary,1,1.4,CND,the,UC,-0.5783912691611507,-0.3873048577048559,-0.1910864114562948
9,University of Montreal,4,1.4,CND,the,UM-2,-0.01865778287616609,-0.3873048577048559,0.3686470748286898
12,Memorial University of Newfoundland,1,1.3,CND,the,MUN,-0.5783912691611507,-0.4182892463212443,-0.16010202283990638
12,University of Ottawa,2,1.3,CND,the,UO,-0.3918134403994892,-0.4182892463212443,0.026475805921755136
12,University of Windsor,1,1.3,CND,the,UW,-0.5783912691611507,-0.4182892463212443,-0.16010202283990638
15,Concordia University,1,1.1,CND,the,CU,-0.5783912691611507,-0.48025802355402125,-0.09813324560712944
15,Dalhousie University,1,1.1,CND,the,DU,-0.5783912691611507,-0.48025802355402125,-0.09813324560712944
15,University of Guelph,1,1.1,CND,the,UG,-0.5783912691611507,-0.48025802355402125,-0.09813324560712944
15,University of Manitoba,1,1.1,CND,the,UM,-0.5783912691611507,-0.48025802355402125,-0.09813324560712944
15,Université du Québec à Montréal,1,1.1,CND,the,UQM,-0.5783912691611507,-0.48025802355402125,-0.09813324560712944
15,York University,1,1.1,CND,the,YU,-0.5783912691611507,-0.48025802355402125,-0.09813324560712944
