rank,institution
1,EPFL
2,ETH Zurich
3,Imperial College London
4,Max Planck Society
5,Universidade de Lisboa
6,Technion
6,Tel Aviv University
8,Hebrew University of Jerusalem
9,VU Amsterdam
10,University of Cambridge
11,Lancaster University
11,TU Dresden
11,University College London
11,University of Edinburgh
11,University of Trento
16,KTH Royal Institute of Technology
16,Politecnico di Milano
18,Chalmers/GU
18,Hamburg University of Technology
18,IMDEA Software Institute
18,IST Austria
18,Royal Holloway University of London
18,Sapienza University of Rome
18,TU Braunschweig
18,University of Hannover
18,University of Osnabrück
