,University,Latitude,Longitude,FacultyCount,PublicationCount,Field
0,HKUST,22.3387645,114.2619042,16,42.9,database
1,National University of Singapore,1.2962018,103.77689765953072,20,40.1,database
2,Tsinghua University,40.00229045,116.3209629696906,25,39.8,database
3,Chinese University of Hong Kong,22.4140914,114.2100208,11,37.5,database
4,TU Munich,48.2655696,11.669345610437995,8,36.7,database
5,University of Waterloo,43.4701994,-80.54524293779451,21,30.9,database
6,Univ. of California - Berkeley,37.87549965,-122.2390685139518,19,26.8,database
7,University of Chicago,41.79139685,-87.60084387193544,13,25.2,database
8,Nanyang Technological University,1.3484104,103.68293320728536,13,23.8,database
9,UNSW,-33.91701725,151.2251677447594,5,23.7,database
10,Carnegie Mellon University,40.4441897,-79.94271918393466,22,23.4,database
11,Duke University,36.00015569999999,-78.94422972195878,12,23.0,database
12,Peking University,39.99171495,116.3039349686354,13,23.0,database
13,Zhejiang University,30.521595,120.7195312,23,22.1,database
14,University of Edinburgh,55.94407645,-3.1883735563964555,12,20.8,database
15,EPFL,46.5186594,6.566561505148001,11,20.3,database
16,Massachusetts Institute of Technology,42.3582529,-71.0966272383055,16,20.1,database
17,Univ. of California - San Diego,32.87924375,-117.23112468377349,15,18.2,database
18,Cornell University,42.4529076,-76.48008423030923,9,17.8,database
19,Aalborg University,57.01590705,9.975308243557343,9,17.6,database
20,University of Michigan,42.2942142,-83.71003893509601,13,17.4,database
21,University of Technology Sydney,-33.88325365,151.20032937174193,6,16.4,database
22,Georgia Institute of Technology,33.7760948,-84.3988076699857,19,15.2,database
23,Renmin University of China,39.96976785,116.30709330596794,13,15.1,database
24,University of Washington,47.655622750000006,-122.30272238357196,6,15.0,database
25,Univ. of California - Santa Barbara,34.414602450000004,-119.84581004701371,9,14.9,database
26,University of Wisconsin - Madison,43.080274450000005,-89.43095871991434,13,14.6,database
27,Hong Kong Baptist University,22.33798795,114.18262590878284,5,14.5,database
28,Univ. of California - Irvine,33.64314015,-117.8401967439739,7,14.4,database
29,Hasso Plattner Institute,52.3933919,13.13156397679563,4,14.0,database
