Rank,University,Faculty Count,Publication Count
1,Tsinghua University,72,9.1
2,National University of Singapore,47,7.7
3,Shanghai Jiao Tong University,82,7.3
4,Peking University,51,6.7
5,KAIST,45,6.5
6,Seoul National University,35,4.5
7,Zhejiang University,58,3.9
8,HKUST,24,3.7
9,Nanyang Technological University,30,3.5
10,Chinese Academy of Sciences,36,3.4
11,Chinese University of Hong Kong,25,3.3
12,Nanjing University,59,3.2
13,HUST,25,2.7
14,City University of Hong Kong,14,2.4
15,Fudan University,35,2.2
15,IISc Bangalore,17,2.2
15,Sungkyunkwan University,20,2.2
18,Beihang University,20,2.1
18,Hunan University,29,2.1
18,Singapore Management University,20,2.1
21,National Taiwan University,19,2.0
21,University of Hong Kong,14,2.0
21,Yonsei University,13,2.0
24,POSTECH,13,1.9
24,Renmin University of China,20,1.9
24,SUSTech,13,1.9
24,The Hong Kong Polytechnic University,9,1.9
24,USTC,19,1.9
29,National Chiao Tung University,19,1.7
29,UNIST,11,1.7
29,Xi'an Jiaotong University,22,1.7
